location,address,tel,mobile,place_id,latitude,longitude
Aggona,"No. 544, Gorakagawatta, Aggona, Mulleriyawa New Town",011 280 8534,074 327 8532,ChIJnXAf4dRX4joRYyGLqos5QB0,6.9162764,79.9245345
Akuregoda,"No. 427, Pothuarawa Road, Akuregoda",011 209 2081,076 053 7262,ChIJ8U54b8BR4joR7IMQ8KUhuRo,6.8958967,79.9421715
Aluthgama,"“Ruwangiri”, Kaluwamodara, Galle Road, Aluthgama",034 229 3460,077 970 0571,ChIJj1O9I4gu4joRilgexZWtFlc,6.436246199999999,79.9957113
Ambalangoda,"No. 435, Galle Road, Ambalangoda",091 225 9650,074 146 1946,ChIJQ6R93imB4ToRHb4YrV0XRjA,6.2419366,80.04963959999999
Andiambalama,"No. 113, Minuwangoda Road, Andiamablama",011 225 9632,077 954 2437,ChIJAzXqbSr74joREANkxxoRouM,7.1851537,79.906474
Anuradhapura,"No. 514, Maithripala Senanayake Mawatha, Anuradhapura",025 222 8323,076 116 5672,ChIJN1DAGYj1_DoRbbPcnYvZCiI,8.3268697,80.4054245
Arangala,"No. 730, Malabe Road, Arangala, Athurugiriya",011 215 6066,076 671 3126,ChIJlz661tdQ4joRgW2nFdZwzCE,6.892355299999999,79.9637789
Athurugiriya,"No. 175/12, Malambe Road, Athurugiriya",011 218 5998,077 261 9130,ChIJlz661tdQ4joRgW2nFdZwzCE,6.892355299999999,79.9637789
Attidiya,"No. 485A, Attidiya Road, Bellanthotha, Dehiwala",011 272 0477,077 178 1674,ChIJTUMDpPpa4joRV6Cu_IXNTR8,6.846841599999999,79.8855603
Avissawella,"No. 57, Kiriwandala, Avissawella",036 223 4593,076 627 3971,ChIJe8fFRBmp4zoRkvYipfT4gOg,6.9504692,80.20064359999999
Bandaragama,"No. 50, Panadura Road, Bandaragama",038 228 9097,076 233 9315,ChIJb5TmLttJ4joRVJ0cTTUGuow,6.711721199999999,79.98544350000002
Battaramulla,"No. 1024 & 1027, Pannipitiya Road, Battaramulla",011 209 6864,077 078 9468,ChIJCekUmBZR4joRewKAdcLsH7g,6.8966593,79.92242
Beruwala,"No. 167, Galle Road, Beruwala",034 229 8215,076 639 2882,ChIJaXZkniEu4joRcegUaM3amIE,6.4746706,79.98378629999999
Biyagama,"No. 306, New Kandy Road, Biyagama",011 246 8809,076 358 3880,ChIJKy2O9KFX4joR-7l0CzYS-PQ,6.9072568,79.9653271
Boralesgamuwa,"No. 105/1, Kesbewa Road, Katuwala, Boralesgamuwa",011 251 6900,076 936 0705,ChIJkbJexbxa4joRmYmClI9Glkk,6.8330191,79.9073501
Borella,"No. 85, Cotta Road, Borella",011 268 2345,077 010 8422,ChIJOdBi7ptZ4joRNSkgxlChtAg,6.913829799999999,79.8823381
Borella - Cotta Road,"No. 103, Dr. N.M. Perera Mawatha, Colombo 08",011 267 5277,076 275 0208,ChIJOdBi7ptZ4joRNSkgxlChtAg,6.913829799999999,79.8823381
Chilaw,"No. 112, Puttalam Road, Chilaw",032 222 2760,076 937 5220,ChIJaZ_L7BPL4joRR7ETPJ4wjoY,7.5836533,79.7968722
Crescat,"No. 89/B, 25, Crescat Boulevard, Galle Road, Colombo 03",011 233 6165,077 010 8423,ChIJV9T1-UBZ4joRVS2SjuIUCgw,6.9173059,79.8485946
Darley Road,"No. 460, T. B. Jaya Mawatha, Colombo 10",011 269 6840,077 384 5413,ChIJ2xKOwaVZ4joRRhI0wcabM34,6.920770699999999,79.8619104
Dehiwala,"No. 268, Sir D. B. Jayathilake Mawatha, (Hill Street), Dehiwala",011 276 1403,077 010 8441,ChIJF6qAUvxa4joR_MaP9J6XOA8,6.849165600000001,79.8774468
Divulapitiya,"Mahagedarawaththa, Minuwangoda Road, Divulapitiya",031 226 3038,077 855 4563,ChIJVauiizbl4joRLITEEvxp5Oc,7.1682128,79.9486987
Duplication Road,"No. 05, Lauries Place, Colombo 04",011 210 1076,076 987 3046,ChIJwxQTGfZb4joRiAlf-PtAMQs,6.8955492,79.8570884
Edmonton,"No. 25, Edmonton Road, Colombo 05",011 251 5896,076 832 3560,ChIJ5bmWGTVa4joRGaGduohG8WQ,6.8795388,79.8760046
Ehaliyagoda,"No. 134, Rathnapura Road, Eheliyagoda",036 225 6024,076 583 5884,ChIJY8y7Gcqv4zoRTLkCTCLyyKk,6.8580491,80.2578474
Eldeniya,"No. 434, Kandy Road, Ranmuthugala, Kadawatha",033 221 9125,076 186 1607,ChIJdz4CJ4z54joRinSpGEln9Vc,7.0140135,79.96674279999999
Embilipitiya,"No. 248, Pallegama, Embilipitiya",047 226 2089,077 206 2970,ChIJmWY3H4AB5DoRmFhIxu63dqY,6.3364712,80.8489651
Embuldeniya,"No. 303, Old Kottawa Road, Embuldeniya",011 283 6889,076 643 9437,ChIJFdDXBtlb4joRbLjz9Ss0JA8,6.8687214,79.90928339999999
Enderamulla,"No. 75A, Enderamulla, Wattala",011 294 0671,077 164 5917,ChIJ09i6ogP44joRu51NdRYHylQ,6.991896499999999,79.92342
Galle,"No. 46, Colombo Road, Kaluwella, Galle",091 222 7860,077 010 8426,ChIJL3Dldb1z4ToRPdNBQxPf0hA,6.0351437,80.2109389
"Galle, Kalegana","No. 465, Wackwella Road, Kalegana, Galle",091 224 5406,076 832 3513,ChIJoZ9wAeRz4ToRQI8rRpT77VA,6.0581579,80.203988
Gampaha,"No. 125, Colombo Road, Gampaha",033 223 8826,077 966 9268,ChIJO2uFW-374joRajAq_ItCa2s,7.0912814,79.99721989999999
Gampola,"No. 27/2, Nawalapitiya Road, Gampola",081 207 6060,076 344 9275,ChIJb5iUI31x4zoRzIbj4Qy1nXo,7.159337499999999,80.56529689999999
Gamsabha,"No. 315, High Level Road, Gangodawila, Nugegoda",011 281 5752,077 109 4647,ChIJJRXWEl1a4joRkS0UczVObrQ,6.8657635,79.89521739999999
Ganemulla,"No. 268, Kadawatha Road, Ganemulla",033 226 3468,077 378 1305,ChIJx3p3WgD54joR7WpnvJRigTY,7.062857699999999,79.9628709
Godagama,"No. 551, High Level Road, Homagama",011 208 6640,076 894 3087,ChIJr4s5KjdS4joRJXWVvEv9bdI,6.851611699999999,80.0258072
Gorakana,"No. 290, Old Galle Road, Gorakana, Panadura",038 229 8822,076 234 1342,ChIJ1woe_RtF4joRHaoMhofya4o,6.7604079,79.8978135
Gothatuwa,"No. 215, IDH Road, Gothatuwa",011 208 0493,077 178 1708,ChIJk26zBNtZ4joR-ogKWCGMd8A,6.928275900000001,79.91012599999999
Havelock Road,"No. 228, Havelock Road, Colombo 05",011 255 4503,077 190 3896,ChIJCzSD6c9b4joR3b3YDFzDXq0,6.886914,79.8643036
Hokandara,"No. 188, Hokandara Road, Thalawathugoda",011 209 3056,074 146 1730,ChIJP86SMidR4joRJYYJj5D1FtQ,6.879197599999999,79.944906
Homagama,"No. 375/10A, High Level Road, Makumbura, Pannipitiya",011 289 1414,077 256 4906,ChIJg7Pf2bNR4joR0dpmj34g-80,6.8445829,79.9694057
Horana,"No. 233, Rathnapura Road, Horana",034 226 7700,076 946 3619,ChIJh41dHt5L4joR3mCcJApMi4I,6.7188231,80.0693084
"Ja-Ela, Ekala","No. 134, Minuwangoda Road, Kanuwana, Ja Ela",011 222 6288,077 381 1257,ChIJb1wDcZfw4joR09HGo4CINC0,7.0947824,79.90533730000001
"Ja-Ela, Weligampitiya","No. 236, Negombo Road, Weligampitiya, Ja Ela",011 224 6819,077 579 8541,ChIJ9T6mX2Lx4joRqW3LW9EcxLQ,7.072485800000001,79.8919773
Jaffna,"No. 333, Clock Tower Road, Jaffna",021 205 0961,076 975 8725,ChIJj1y0awBV_joRf7QxNZrFjsY,9.668291300000002,80.01471959999999
Kaduwela,"No. 131/6, Hewagama, Kaduwela",011 215 9761,076 168 6238,ChIJySUfogNX4joRn0QlnyOROfc,6.9361821,79.9729663
Kalubowila,"No. 53, Hospital Road, Kalubowila, Dehiwala",011 271 0030,077 010 8430,ChIJxZcK5q5b4joRoi6XojPXwO4,6.8631438,79.86680299999999
Kaluthara,"No. 735, Galle Road, Wettumakada, Kaluthara South, Kaluthara",034 222 2797,076 832 3015,ChIJB3bVRdQ24joRW9jv8QKjo40,6.566548999999999,79.9680111
"Kandy, City Center","City Centre Compex, Level 1, L1 -14, Kandy (Pvt) Ltd, Kandy",081 223 5931,077 010 8433,ChIJySyI3Stm4zoRIRK0ZGuKXrs,7.292179299999999,80.6369392
"Kandy, William Goppalawa Mawatha","No. 489, William Gopallawa Mawatha, Kandy",081 220 5145,077 010 8434,ChIJd16hA5do4zoRB3dfDGupmZI,7.2788309,80.6190105
Karapitiya,"No. 54, Hirimbura Cross Road, Karapitiya",091 211 7530,074 039 3108,ChIJaSqJG7lz4ToReeBouq__bLk,6.063944299999999,80.2218829
Katubedda,"No. 78, Bandaranayake Mawatha, Katubedda",011 265 0803,076 161 3504,ChIJd81FVc1F4joRhE4ED2Vi8vs,6.7959592,79.8963496
Katugastota,"No. 256, Katugasthota Road, Kandy",081 222 1940,076 092 3788,ChIJ148YN79n4zoRvjjTI2W3lLA,7.3127683,80.6328906
Katugastota 2,"No. 07, Sri Rathanapala Mawatha, Katugastota",081 220 1662,074 017 9962,ChIJvd3cPj9p4zoRKiEgvY4SO6M,7.321477099999999,80.6248411
Kegalle,"No. 461, Kandy Road, Kegalle",035 205 0006,077 212 3369,ChIJec-YYrEW4zoR9qRB1fi1fpA,7.254270799999999,80.3513401
Kelaniya,"No. 690, Biyagama Road, Pilapitiya, Kelaniya",011 299 1278,076 825 7675,ChIJCXpAOzBY4joRIoiQBn0tnLM,6.950797,79.9072649
"Kelaniya, Tyre Junction","No. 498, Kandy Road, Dalugama, Kelaniya",011 291 1142,076 860 6948,ChIJbeH20RtY4joRU8StvLvUncw,6.9690593,79.9112091
Kerawalapitiya,"No. 315, Handala Road, Wattala",011 293 9037,076 373 8516,ChIJsSMUd8X34joROGb5J8mmozU,6.996886099999999,79.88602399999999
"Kesbewa, Bandaragama Road","No. 220/1, Bandaragama Road, Kesbewa",011 218 0696,077 152 6870,ChIJhT8TfpVP4joR-VE8W6PgOAo,6.791932699999999,79.9416747
"Kesbewa, Horana Road","No. 1059, Horana Road, Kesbewa",011 260 2871,077 051 7865,ChIJZzQmEgZP4joRWnSbrt4tTxQ,6.7931499,79.9469909
Kimbulapitiya,"No. 339, Kimbulapitiya Road, Negombo",031 228 1291,076 249 6247,ChIJ1W851lTv4joRIJFdtT0iwLk,7.204058,79.862246
"Kiribathgoda, Kandy Road","No. 197, Kandy Road, Kiribathgoda",011 299 1646,077 166 2221,ChIJxRGC2uJX4joRgp74XJk4Gpg,6.982333499999999,79.9308697
"Kiribathgoda, Makola Road","No. 94, Makola Road, Kiribathgoda",011 291 0011,077 010 8435,ChIJW3gmJGhX4joRIpEywlPIm2c,6.9770908,79.9292905
Kirillawala,"No. 89, Kandy Road, Pahala Imbulgoda, Imbulgoda",033 221 9392,077 886 9939,ChIJkWXIOvv54joR_kSw7VVTD98,7.0325802,79.9870633
Kochchikade,"No. 21, Negembo Road, Kochchikade",031 227 2663,077 972 9746,ChIJfysRvRbp4joR1cWoxcvuN2M,7.262999799999999,79.8583565
"Kohuwala, Dutugemunu Mawatha","No. 135, Dutugemunu Mawatha, Kohuwala",011 281 2174,077 010 8436,ChIJg0FiYk5a4joRh6cu_QfFi1g,6.869652599999999,79.8808829
"Kohuwala, Sunethradevi Road","No. 71, Sunethradevi Road, Kohuwala",011 281 7891,077 207 5376,ChIJB2dpNlpa4joROp1oCoBfYas,6.8633421,79.888274
"Kotahena, Bonjeang Rd","No. 01, Bonjeang Road, Colombo 13",011 244 6155,077 010 8437,ChIJRWR0_ORY4joRzqC93MLHY6c,6.948411699999999,79.86091329999999
"Kotahena, Cyril C Perera Mw","No. 141, Cyril C. Perera Mawatha, Colombo 13",011 202 7259,074 371 3817,ChIJh2NAAQBZ4joREbm7oJ1Gwh0,6.9465686,79.8654935
Kotikawatta,"316- Awissawella Rd, Angoda.",011-2549276,0770108438,ChIJ-1-TWoFX4joRMNpIZz2nyfs,6.9324314,79.9271855
"Kottawa, Athurugiriya Road","No. 139, Athurugiriya Road, Kottawa",011 218 9957,076 344 8167,ChIJg7Pf2bNR4joR0dpmj34g-80,6.8445829,79.9694057
"Kottawa, Horana Road","No. 191, Horana Road, Kottawa",011 217 2771,077 010 8439,ChIJ0zG3l8pR4joR-1DX3JXnA98,6.8364719,79.9655166
Kotte,"No. 581, Kotte Road, Pitakotte",011 288 9800,077 010 8425,ChIJiz0BqxBa4joRzENCzDMJ60s,6.8888398,79.9027201
Kotugoda,"No.257/B,SirilakMawatha,Kasagahawatta,Kotugoda",,,ChIJ2VDNYq7x4joR6jJNhfbRBwA,7.1186284,79.91574489999999
"Kurunagala, Bauddhaloka Mawatha","No. 41, Bauddhaloka Mawatha, Kurunegala",037 222 7202,077 145 4167,ChIJXy-IWSI64zoR03M-xOAOSiY,7.4819209,80.3583444
"Kurunegala, Puttlam Road","No. 192, Puttalam Road, Kurunegala",037 222 7909,076 234 0582,ChIJ_Q1T_0E74zoRlbaFN-zExHk,7.4903467,80.35984309999999
Liberty Plaza,"No. 250/B/2, Liberty Plaza, R. A. De Mel Mawatha, Colombo 03",011 237 2161,076 913 9763,ChIJ-xtfhkJZ4joR2BEAtneyHRQ,6.9118996,79.85130869999999
Mahabage,"No. 812, Negombo Road, Mahabage",011 298 2530,076 982 0898,ChIJxxqdL5b34joRktMLxiC-HSA,7.012619,79.897026
"Maharagama, Dehiwala Road","No. 184, Dehiwala Road, Maharagama",011 208 9329,077 214 5527,ChIJPba2FXZQ4joRJG3RBR5q3kA,6.842743100000001,79.9208556
"Maharagama, Wattegedara","No. 226, High Level Road, Maharagama",011 284 9813,077 386 0519,ChIJybDktXhQ4joR4ptqhUqjD10,6.8520344,79.9208973
"Mahawaskaduwa, Kalutara","No. 34, Galle Road, Maha Waskaduwa",034 223 0495,076 987 2511,ChIJ_WUGDXU34joRLpKQCt77mAc,6.6100485,79.95220069999999
Makola,"No. 106, Makola North, Makola",011 290 6752,077 158 4233,ChIJ6wjQjtxX4joR4pJIiLXQYw4,6.9768444,79.9463366
Marawila,"No. 40, Horagolla South, Colombo Road, Marawila",032 225 1617,076 946 5453,ChIJo8iCeLfF4joRQykYxXFLNjQ,7.4144151,79.83104759999999
Marine Drive,"No. 35, Upathissa Road, Bambalapitiya, Colombo 04",011 255 5375,077 010 8443,ChIJwxQTGfZb4joRiAlf-PtAMQs,6.8955492,79.8570884
"Matale, Aluvihare","No. 833A, Aluvihare, Matale",066 205 8296,076 092 1957,ChIJ3Z0NlsdF4zoRQ25F9LORdcA,7.4890833,80.6234269
"Matale, Nagolla Road","No. 11, Nagolla Road, Matale",066 222 2014,076 894 3496,ChIJlXS5lNlE4zoRvB6bijPy0FA,7.463742699999999,80.6201481
Matara Broadway,"No. 66, Kumarathunga Mawatha, Matara",041 222 0743,076 086 0491,ChIJv-gklN054ToRsJCAeuefX70,5.9482084,80.5454187
"Matara, Nupe","No. 227, Anagarika Dharmapala Mawatha, Nupe, Matara",041 223 4654,077 010 8444,ChIJp6tIGCk_4ToRuJn0J6oVibU,5.948182099999999,80.53598939999999
"Matara, Welewatta","No. 361, Welewatta, Matara",041 222 8594,077 158 4668,ChIJVzjSBt844ToRe2vopt5OLJQ,5.947121999999999,80.5632004
Mathugama,"No. 185, Kalutara Road, Matugama",034 221 0507,077 008 4283,ChIJIT6rznnN4zoRS6Pdo-IdrWU,6.5230654,80.1083096
Mattakkuliya,"No. 854, Aluthmawatha Road, Mattakkuliya",011 252 6169,077 357 2238,ChIJg41agVlZ4joRnmgWsAis8VE,6.9692016,79.87343729999999
Mawanella,"No. 185, New Kandy Road, Mawanella",035 224 8531,077 583 0626,ChIJre6TZWUV4zoRwC9dMprcT64,7.251799000000001,80.45029629999999
Mawaramandiya,"No. 475, Udupila Road, Mawaramandiya",011 297 8083,077 078 9949,ChIJAU-50dP54joRRfrDjBw68Vo,6.987016199999999,79.9762567
Minuwangoda,"No. 28, Veyangoda Road, Minuwangoda",011 229 5594,077 143 5341,ChIJVauiizbl4joRLITEEvxp5Oc,7.1682128,79.9486987
Miriswatta,"No. 03, Miriswatta, Gampaha",033 223 1599,076 048 5045,ChIJFchDrYn94joRT2LFkXJaxTA,7.0755449,80.0140576
"Moratuwa, K Zone","No. 340, K- Zone, Lakshapathiya, Moratuwa",011 264 3151,077 010 8446,ChIJ999VAz1F4joR3Ez5TsR7pkI,6.7952168,79.8876806
"Moratuwa, St. Peter's Road","No. 16, St. Peters Road, Moratuwa",011 264 4855,077 145 4150,ChIJjZAvC6hF4joRLtjBwFyRtUc,6.7707745,79.8853529
Mount Lavinia,"No. 388/A, Galle Road, Mount Lavinia",011 273 0507,077 010 8448,ChIJt1yVsCNb4joRaJ0zhsrKGS0,6.831912000000001,79.867235
Mulleriyawa,"No. 42D, Hospital Road, Angoda",011 256 7631,076 230 6859,ChIJ-1-TWoFX4joRMNpIZz2nyfs,6.9324314,79.9271855
Nawala,"No. 459, Nawala Road, Rajagiriya",011 286 4270,077 010 8449,ChIJ106O1CBa4joRGWmgM5irX50,6.8966017,79.89123529999999
Negombo Telwatta,"No. 175, Negombo Road, Negombo",031 212 1024,076 180 2851,ChIJAT_elpLu4joRR8JmXAbfWIA,7.206695499999999,79.84994499999999
"Negombo, Dalupotha","No. 555, Chilaw Road, Negombo",031 228 1911,077 075 1679,ChIJ4WUoY3Lv4joR2GZP70foy_k,7.2301438,79.84993030000001
"Negombo, Kurana","No. 800, 2nd Kurana, Colombo Road, Negombo",031 223 3430,076 233 0186,ChIJn9dxlJrv4joRNnjf0DGpXrY,7.1848503,79.8593171
Nugegoda,"No. 14, Nawala Road, Nugegoda",011 276 9604,076 923 5864,ChIJe5EaVQBb4joRb_ScyYc4z30,6.8746431,79.89113010000001
Online Order DC,"No. 41, Archibishop Nocholas Marcus Fernando Mawatha, Negombo",,0770108451,ChIJAT_elpLu4joRR8JmXAbfWIA,7.206695499999999,79.84994499999999
Pallekelle,"No. 2D, Moragahapitiya Estate, Kengalla",081 220 1342,077 940 2518,ChIJD-0OtDRh4zoRxP7IaW-hbyA,7.284984199999999,80.7221833
"Panadura, Nalluruwa","No. 735, Galle Road, Nalluruwa, Panadura",038 224 8030,077 972 9967,ChIJB3bVRdQ24joRW9jv8QKjo40,6.566548999999999,79.9680111
"Panadura, Walana","No. 161, Galle Road, Walana, Panadura",038 224 5799,077 012 9453,ChIJQy_d5ghG4joRwnTAxWN9hks,6.726054200000001,79.9061411
"Panadura, Wekada","No. 267, Horana Road, Wekada, Panadura",038 224 7937,077 161 7668,ChIJgVFrLaBI4joR43QWesmuzds,6.7098417,79.92194359999999
Pannipitiya,"No. 361, High Level Road, Pannipitiya",011 208 9130,077 264 2621,ChIJ5_vKkUJQ4joRxrT_6qLpX08,6.8454801,79.94248639999999
"Peradeniya Road, Kandy","No. 927, Peradeniya Road, Kandy",081 206 8422,077 583 0495,ChIJ709Fi4lp4zoReKAuI974Uac,7.273934399999999,80.610207
"Piliyandala Rd, Maharagama","No. 59, Piliyandala Road, Maharagama",011 209 0474,076 987 3083,ChIJ62lspClR4joRyq2aK1Sg664,6.8424722,79.9265942
"Piliyandala, Dolekanatta","No. 118/1A, Maharagama Road, Mavittara, Piliyandala",011 205 2896,077 275 2516,ChIJybDktXhQ4joR4ptqhUqjD10,6.8520344,79.9208973
"Piliyandala, Miriswatte","No. 242, Colombo Road, Miriswatta, Piliyandala",011 260 0143,077 212 2979,ChIJJQf_RCRP4joROkkXEHEmeA4,6.8089776,79.9392957
Pitakotte,"No. 216 A, Thalawathugoda Road, Pitakotte",011 207 7356,077 364 9438,ChIJB9cYwpZQ4joRQnteXW2CdcY,6.874913899999999,79.9342114
Pitakotte 2,"No. 308, Kotte Road, Pitakotte",011 281 1737,077 594 7617,ChIJWXpWtedb4joR9Ftxa4wnhW8,6.880625999999999,79.8999394
Pittugala,"No. 296, Kaduwela Road, Pittugala, Malambe",011 240 7861,077 578 3364,ChIJE8YhStZW4joRGor_yXVQv7Y,6.9082484,79.9655872
Puttalam,"No. 89, Kurunegala Road, Puttalama",032 226 7457,076 032 5489,ChIJD4BqTJwX_ToRofP_HJDZfMk,8.028127399999999,79.837068
Ragama,"No. 968, Mahabage Road, Ragama",011 295 6992,077 158 4654,ChIJiWI-jH_34joRkXgf-PVCZfg,7.0271637,79.91755309999999
"Ragama, Delpe","No. 324, Kadawatha Road, Delpe Junction, Mahara",011 296 1990,077 051 1048,ChIJ97cE_Cj54joREFftfIXe5Gk,7.020922499999999,79.9358653
"Rajagiriya, Cotta Road","No. 522, Kotte Road, Rajagiriya",011 287 9157,077 262 0858,ChIJ7_KhkJJZ4joRn4AcerZDIrI,6.910399200000001,79.89497449999999
"Rajagiriya, Sri Jayawardenapura Road","No. 475, Sri Jayawardenapura Road, Rajagiriya",011 288 6446,077 010 8457,ChIJISCO1vNZ4joRU12VUfv7y8g,6.906900599999999,79.9023058
Rathmalana,"No. 413, Galle Road, Rathmalana",011 263 3197,077 263 6773,ChIJ_WS0FNZa4joRLKl6mOVlYbg,6.819342499999999,79.8742156
Rathnapura,"No. 09, Panadura Road, Moragahayata, Rathnapura",045 222 5215,077 122 7147,ChIJz1ej4xC_4zoRb4_vADkyLls,6.6845227,80.39574739999999
Rathnapura 2,"No. 42, Bandaranayake Mawatha, Rathnapura",045 222 3691,074 036 9781,ChIJz1ej4xC_4zoRb4_vADkyLls,6.6845227,80.39574739999999
Raththanapitiya,"No. 235, Horana Road, Raththanapitiya, Boralesgamuwa",011 215 0573,077 895 0947,ChIJsQyJJ_Na4joR7YeZjng1LPE,6.849039299999999,79.8962792
Seeduwa,"No. 253, Negombo Road, Bandarawaththa, Seeduwa",011 225 5872,077 581 6599,ChIJkRorLgvx4joRc5pUz7MaUoA,7.122325999999999,79.8784278
Shangri-La Mall,"One Galle Face Mall, Colombo 02",011 211 8378,076 048 4959,ChIJWWrrSwBZ4joRPSXwU4fEKxU,6.9279965,79.84507649999999
Sinharamulla,"No. 356, Biyagama Road, Gonawela, Kelaniya",011 298 4619,076 592 7642,ChIJPRBMVfRX4joR0IEGHVmCsfY,6.952322,79.930236
Tangalle,"No. 281, Matara Road, Tangalle",047 224 2254,077 280 7586,ChIJfV73Ma5L4ToRiK7k9G5HEIk,6.023235499999999,80.7957369
Thalahena,"No. 427, Kaduwela Road, Thalahena",011 279 0865,077 010 8455,ChIJ6abu7khX4joRX4OxdLZx1p4,6.9088525,79.9379594
"Thalawathugoda Road, Madiwela","No. 572/5, Thalawathugoda Road, Madiwela",011 277 4685,077 583 0323,ChIJB9cYwpZQ4joRQnteXW2CdcY,6.874913899999999,79.9342114
"Thalawathugoda, Capital Mall","No. 531, Capital Mall, Madiwela Road, Thalawathugoda",011 279 6480,077 010 8424,ChIJB9cYwpZQ4joRQnteXW2CdcY,6.874913899999999,79.9342114
"Thalawathugoda, Kalalgoda","No. 158, Pannipitiya Road, Thalawathugoda",011 277 3939,076 371 3975,ChIJLxxA25JQ4joRnJjDs_XEAm8,6.8705099,79.940767
Thihariya,"No. 120, Kandy Road, Thihariya",033 212 1087,077 107 3281,ChIJ1-Q1xwX94joRy6JRUY1oAOw,7.1271073,80.0710112
Thimbirigasyaya,"No. 407, Thimbirigasyaya Road, Colombo 05",011 208 1532,076 912 0902,ChIJnTDhH9Vb4joR0dxjz6DsBAk,6.8961186,79.8729523
Thurstan Road,"No. 32, Kumarathunga Munidasa Mawatha, Colombo 03",011 257 7681,074 227 8946,ChIJ8VoUHQBZ4joR9H2OcAjI2dM,6.9048659,79.85833509999999
Udahamulla,"No. 271, Madiwela Road, Udahamulla, Embuldeniya",011 286 0572,076 268 9436,ChIJBeJk3Ohb4joRl06Ok5T0d7U,6.8741002,79.9178215
Union Place,"No. 199, Union Place, Colombo 02",011 230 3111,077 010 8459,ChIJYWsB8xRZ4joRf7NB2-qOi84,6.921714,79.85612429999999
Vidyala Junction,"No. 04, Hokandara Road, Kalalgoda, Pannipitiya",011 256 1953,077 008 3718,ChIJLxxA25JQ4joRnJjDs_XEAm8,6.8705099,79.940767
Wadduwa,"No. 520, Galle Road, Wadduwa",038 225 7830,077 078 9446,ChIJB3bVRdQ24joRW9jv8QKjo40,6.566548999999999,79.9680111
Wattala,"No. 384, Negombo Road, Wattala",011 293 5290,077 010 8460,ChIJMZ4BUNn34joRoRb_jzInJ3M,6.9877199,79.8912017
Wellampitiya,"No. 230, Avissawella Road, Wellampitiya",011 253 3190,077 158 4649,ChIJ_76ZG8xZ4joRLVGrEJ_ajcY,6.9370392,79.9033275
Wennappuwa,"No. 28A, Chilaw Road, Wennappuwa",031 225 7907,077 534 7061,ChIJcZzu9GDD4joRkseOu9eYiaU,7.3452165,79.8401059
Wijerama,"No. 4/6, Soratha Mawatha, Nugegoda",011 280 3610,077 010 8461,ChIJu25wUn1a4joRyfKiJleOFKE,6.8575778,79.9081649
Yakkala,"No. 65/5, 1st Lane, Kandy Road, Yakkala",033 232 0318,076 144 5724,ChIJYwwlw9794joRZAvZdXcFkP0,7.0856699,80.0327745
